iter	Passed	Remaining
0	570	142100
1	713	88454
2	896	73771
3	1296	79734
4	1485	72769
5	1743	70911
6	2055	71358
7	2652	80246
8	3141	84127
9	3428	82292
10	3739	81240
11	4018	79695
12	4354	79381
13	4932	83144
14	5386	84391
15	6169	90222
16	6543	89685
17	6817	87870
18	7228	87889
19	7525	86543
20	7870	85820
21	8225	85247
22	8650	85381
23	9360	88148
24	9820	88387
25	10345	89127
26	10586	87432
27	10769	85383
28	11021	83990
29	11195	82098
30	11750	83014
31	11977	81599
32	12301	80894
33	12606	80086
34	12843	78893
35	13204	78492
36	13518	77821
37	13751	76721
38	14042	75971
39	14410	75655
40	14858	75743
41	15340	75973
42	15603	75115
43	15969	74765
44	16247	74014
45	16485	73111
46	17127	73975
47	17427	73338
48	17715	72670
49	17882	71529
50	18261	71257
51	18436	70200
52	18611	69179
53	18780	68167
54	19121	67795
55	19393	67183
56	19554	66211
57	19694	65194
58	19951	64588
59	20176	63892
60	20299	62896
61	20429	61946
62	20605	61161
63	20717	60208
64	20817	59249
65	20931	58353
66	21039	57466
67	21155	56620
68	21259	55768
69	21362	54932
70	21486	54170
71	21600	53401
72	21699	52614
73	21796	51841
74	21956	51232
75	22094	50584
76	22254	50000
77	22358	49302
78	22499	48701
79	22706	48250
80	22851	47677
81	23080	47286
82	23237	46755
83	23433	46309
84	23753	46109
85	23902	45582
86	24291	45511
87	24555	45204
88	24744	44762
89	25046	44527
90	25247	44113
91	25453	43713
92	25555	43141
93	25656	42579
94	25748	42009
95	25909	41563
96	26102	41172
97	26450	41025
98	26729	40769
99	26949	40424
100	27216	40150
101	27473	39863
102	27625	39427
103	27780	38999
104	28105	38811
105	28381	38556
106	28737	38406
107	29029	38167
108	29350	37967
109	29756	37872
110	29993	37559
111	30184	37191
112	30336	36779
113	30712	36639
114	31157	36575
115	31337	36200
116	31480	35785
117	31611	35362
118	31795	35001
119	32023	34691
120	32177	34305
121	32354	33945
122	32638	33700
123	32918	33449
124	33100	33100
125	33282	32753
126	33457	32403
127	33629	32053
128	33895	31793
129	34048	31429
130	34209	31075
131	34399	30751
132	34575	30416
133	34749	30081
134	34921	29747
135	35173	29483
136	35472	29258
137	35708	28980
138	35869	28644
139	36022	28303
140	36258	28029
141	36386	27674
142	36523	27328
143	36659	26985
144	36916	26732
145	37176	26481
146	37423	26221
147	37555	25883
148	37690	25548
149	37858	25238
150	38176	25029
151	38772	24997
152	39068	24768
153	39272	24481
154	39441	24173
155	39633	23881
156	40408	23936
157	40505	23585
158	40701	23294
159	40881	22996
160	41049	22691
161	41291	22430
162	41638	22224
163	41955	22001
164	42207	21743
165	42363	21437
166	42570	21157
167	42939	20958
168	43322	20764
169	43616	20525
170	43875	20269
171	44116	20006
172	44371	19749
173	45001	19655
174	45320	19422
175	45526	19141
176	46200	19054
177	46566	18835
178	46800	18563
179	46958	18261
180	47185	17987
181	47345	17689
182	47569	17416
183	47717	17116
184	47880	16822
185	48107	16553
186	48290	16268
187	48464	15982
188	48679	15711
189	48919	15448
190	49150	15182
191	49356	14909
192	49496	14618
193	49630	14326
194	49788	14043
195	49896	13747
196	50010	13454
197	50171	13176
198	50294	12889
199	50445	12611
200	50631	12343
201	50814	12074
202	51062	11822
203	51254	11557
204	51434	11290
205	51589	11019
206	51763	10752
207	52128	10526
208	52360	10271
209	52609	10020
210	52757	9751
211	52997	9499
212	53269	9253
213	53464	8994
214	53845	8765
215	54004	8500
216	54156	8235
217	54326	7974
218	54531	7719
219	54670	7455
220	54938	7209
221	55094	6948
222	55334	6699
223	55550	6447
224	55852	6205
225	56097	5957
226	56415	5716
227	56749	5475
228	57075	5233
229	57254	4978
230	57393	4720
231	57506	4461
232	57612	4203
233	57737	3947
234	57992	3701
235	58276	3457
236	58457	3206
237	58570	2953
238	58676	2700
239	58802	2450
240	58957	2201
241	59108	1953
242	59361	1709
243	59607	1465
244	59881	1222
245	60125	977
246	60333	732
247	60454	487
248	60580	243
249	60703	0
